source_number,name,alt_name,ra,dec,ra_dec,cluster_radius,distance,log_age
332,Trumpler 21,,13 32.2,-62 48,13 32.2 -62 48,0.18,1312,7.76
333,Loden 915,,13 34.1,-59 15,13 34.1 -59 15,0.25,500,8.44
334,Platais 10,,13 41.7,-59 13,13 41.7 -59 13,2,246,8.2
335,Loden 1010,,13 44.8,-60 15,13 44.8 -60 15,0.25,700,8.69
336,NGC 5281,,13 46.6,-62 55,13 46.6 -62 55,0.15,1108,7.76
337,Platais 12,,13 52.5,-63 22,13 52.5 -63 22,1.25,435,8.23
338,NGC 5316,,13 53.9,-61 52,13 53.9 -61 52,0.28,1215,8.19
339,Loden 995,,13 54.3,-64 57,13 54.3 -64 57,0.22,2400,8.34
340,Loden 1171,,13 59.4,-58 23,13 59.4 -58 23,0.11,500,8.45
341,Lynga 1,,14 00.1,-62 09,14 00.1 -62 09,0.12,2283,8.15
342,NGC 5359,,14 00.1,-70 23,14 00.1 -70 23,0.17,2500,8.3
343,Ruprecht 110,,14 05.5,-67 28,14 05.5 -67 28,0.23,1300,8.74
344,Loden 1194,,14 05.7,-59 43,14 05.7 -59 43,0.18,500,8.53
345,NGC 5460,,14 07.4,-48 20,14 07.4 -48 20,0.38,673,8.31
346,Loden 1225,,14 09.1,-59 43,14 09.1 -59 43,0.16,1500,8.67
347,Ruprecht 167,,14 18.2,-58 58,14 18.2 -58 58,0.21,2000,8.57
348,Loden 1256,,14 18.2,-61 26,14 18.2 -61 26,0.2,1400,8.41
349,ESO 175-06,,14 18.7,-56 55,14 18.7 -56 55,0.18,550,8.6
350,Lynga 2,,14 24.4,-61 20,14 24.4 -61 20,0.22,1000,8.42
351,NGC 5593,,14 25.6,-54 48,14 25.6 -54 48,0.18,850,8.77
352,NGC 5606,,14 27.8,-59 38,14 27.8 -59 38,0.2,1805,6.84
353,NGC 5617,,14 29.8,-60 43,14 29.8 -60 43,0.18,1533,8.02
354,Trumpler 22,,14 31.0,-61 10,14 31.0 -61 10,0.14,1516,8.11
355,NGC 5662,,14 35.6,-56 37,14 35.6 -56 37,0.32,678,7.64
356,Alessi 6,,14 40.3,-66 07,14 40.3 -66 07,0.42,437,8.3
357,vdBergh-Hagen 164,,14 48.2,-66 20,14 48.2 -66 20,0.4,550,7.14
358,NGC 5749,,14 48.9,-54 30,14 48.9 -54 30,0.13,1031,7.41
359,Hogg 18,,14 50.7,-52 16,14 50.7 -52 16,0.12,1535,7.58
360,NGC 5822,,15 04.4,-54 24,15 04.4 -54 24,0.53,917,8.83
361,NGC 5823,,15 05.5,-55 36,15 05.5 -55 36,0.13,1192,8.9
362,Alessi 8,,15 29.6,-51 14,15 29.6 -51 14,0.31,575,7.92
363,Loden 2313,,15 40.8,-52 29,15 40.8 -52 29,0.19,1410,8.74
364,Collinder 292,,15 49.9,-57 37,15 49.9 -57 37,0.2,1500,8.73
365,Ruprecht 113,,15 57.5,-59 29,15 57.5 -59 29,0.45,810,8.23
