source_number|name|alt_name|ra|dec|cluster_radius|distance|log_age
442|Alessi 19||18 19.1|+12 11|0.75|550|8.05
86|NGC 2169||06 08.4|+13 58|0.15|1032|6.89
25|NGC 752||01 57.7|+37 47|1.45|458|9.14
68|Collinder 65||05 26.1|+15 42|2.4|310|7.41
64|NGC 1817||05 12.2|+16 41|0.23|1972|8.25
467|Roslund 1||19 45.0|+17 31|0.15|670|8.47
54|NGC 1647||04 45.9|+19 07|0.63|539|7.96
201|NGC 2632|Praesepe, M 44|08 40.4|+19 41|3|187|8.9
471|Roslund 3||19 58.7|+20 29|0.2|1515|7.61
83|Basel 11B||05 58.2|+21 58|0.18|1500|8.82
461|NGC 6793||19 23.2|+22 08|0.15|1100|8.64
61|Platais 4||05 06.9|+22 22|1.25|276|8.24
470|NGC 6830||19 51.0|+23 06|0.17|1639|7.52
93|Collinder 89||06 19.5|+23 18|0.5|800|7.5
465|NGC 6823||19 43.1|+23 18|0.27|1893|7.01
84|NGC 2129||06 01.1|+23 19|0.09|1515|7.08
60|NGC 1746||05 03.8|+23 46|0.57|760|8.19
492|Alessi 12||20 43.5|+23 47|0.5|537|7.9
468|Roslund 2||19 45.4|+23 55|0.23|2000|6.89
47|Melotte 22|Pleiades, M45|03 47.3|+24 07|6.4|130|8.08
63|NGC 1802||05 10.3|+24 08|0.3|400|8.66
87|NGC 2168|M 35|06 09.1|+24 21|0.95|830|8.18
462|NGC 6800||19 27.1|+25 08|0.13|1000|8.59
463|Stock 1||19 35.8|+25 13|0.4|350|8.53
79|NGC 1996||05 38.0|+25 46|0.2|1400|8.45
308|Melotte 111|Coma Ber|12 22.5|+25 51|4|87|8.78
482|NGC 6882||20 11.8|+26 49|0.11|342|8.16
491|NGC 6940||20 34.4|+28 17|0.5|770|8.94
466|Turner 9||19 44.8|+29 16|0.8|852|8.06
67|NGC 1896||05 25.7|+29 18|0.19|820|8.8
15|Platais 2||01 13.0|+32 05|1.7|201|8.54
46|IC 348||03 44.6|+32 10|0.13|394|7.79
82|NGC 2099|M 37|05 52.3|+32 33|0.32|1383|8.54
66|NGC 1893||05 22.7|+33 25|0.2|3280|6.82
479|Roslund 5||20 10.4|+33 48|0.54|418|7.77
78|NGC 1960|M 36|05 36.3|+34 08|0.27|1318|7.62
70|Stock 8||05 28.1|+34 25|0.25|1821|7.61
99|NGC 2240||06 33.2|+35 15|0.27|450|9.5
69|NGC 1907||05 28.1|+35 20|0.22|1330|7.94
